"Year","Month","Day","Hour","Minute","DNI"
2000,1,30,22,30,0
2000,1,30,23,30,0
2000,1,31,0,30,0
2000,1,31,1,30,0
2000,1,31,2,30,0
2000,1,31,3,30,0
2000,1,31,4,30,0
2000,1,31,5,30,0
2000,1,31,6,30,0
2000,1,31,7,30,36
2000,1,31,8,30,0
2000,1,31,9,30,453
2000,1,31,10,30,510
2000,1,31,11,30,636
2000,1,31,12,30,51
2000,1,31,13,30,39
2000,1,31,14,30,475
2000,1,31,15,30,244
2000,1,31,16,30,227
2000,1,31,17,30,0
2000,1,31,18,30,0
2000,1,31,19,30,0
2000,1,31,20,30,0
2000,1,31,21,30,0
2000,1,31,22,30,0
2000,1,31,23,30,0
2000,2,1,0,30,0
2000,2,1,1,30,0
2000,2,1,2,30,0
2000,2,1,3,30,0
2000,2,1,4,30,0
2000,2,1,5,30,0
2000,2,1,6,30,0
2000,2,1,7,30,0
2000,2,1,8,30,489
2000,2,1,9,30,81
2000,2,1,10,30,763
2000,2,1,11,30,800
2000,2,1,12,30,802
2000,2,1,13,30,772
2000,2,1,14,30,161
2000,2,1,15,30,0
2000,2,1,16,30,305
2000,2,1,17,30,0
2000,2,1,18,30,0
2000,2,1,19,30,0
2000,2,1,20,30,0
2000,2,1,21,30,0
2000,2,1,22,30,0
2000,2,1,23,30,0
2000,2,2,0,30,0
2000,2,2,1,30,0
2000,2,2,2,30,0
2000,2,2,3,30,0
2000,2,2,4,30,0
2000,2,2,5,30,0
2000,2,2,6,30,0
2000,2,2,7,30,274
2000,2,2,8,30,633
2000,2,2,9,30,777
2000,2,2,10,30,853
2000,2,2,11,30,888
2000,2,2,12,30,908
2000,2,2,13,30,908
2000,2,2,14,30,874
2000,2,2,15,30,787
2000,2,2,16,30,560
2000,2,2,17,30,0
2000,2,2,18,30,0
2000,2,2,19,30,0
2000,2,2,20,30,0
2000,2,2,21,30,0
2000,2,2,22,30,0
2000,2,2,23,30,0
2000,2,3,0,30,0
2000,2,3,1,30,0
2000,2,3,2,30,0
2000,2,3,3,30,0
2000,2,3,4,30,0
2000,2,3,5,30,0
2000,2,3,6,30,0
2000,2,3,7,30,35
2000,2,3,8,30,291
2000,2,3,9,30,458
2000,2,3,10,30,447
2000,2,3,11,30,424
2000,2,3,12,30,189
2000,2,3,13,30,185
2000,2,3,14,30,111
2000,2,3,15,30,56
2000,2,3,16,30,33
2000,2,3,17,30,0
2000,2,3,18,30,0
2000,2,3,19,30,0
2000,2,3,20,30,0
2000,2,3,21,30,0
2000,2,3,22,30,0
2000,2,3,23,30,0
2000,2,4,0,30,0
2000,2,4,1,30,0
2000,2,4,2,30,0
2000,2,4,3,30,0
2000,2,4,4,30,0
2000,2,4,5,30,0
2000,2,4,6,30,0
2000,2,4,7,30,0
2000,2,4,8,30,0
2000,2,4,9,30,48
2000,2,4,10,30,0
2000,2,4,11,30,12
2000,2,4,12,30,61
2000,2,4,13,30,63
2000,2,4,14,30,182
2000,2,4,15,30,6
2000,2,4,16,30,72
2000,2,4,17,30,0
2000,2,4,18,30,0
2000,2,4,19,30,0
2000,2,4,20,30,0
2000,2,4,21,30,0
2000,2,4,22,30,0
2000,2,4,23,30,0
2000,2,5,0,30,0
2000,2,5,1,30,0
2000,2,5,2,30,0
2000,2,5,3,30,0
2000,2,5,4,30,0
2000,2,5,5,30,0
2000,2,5,6,30,0
2000,2,5,7,30,116
2000,2,5,8,30,540
2000,2,5,9,30,790
2000,2,5,10,30,907
2000,2,5,11,30,945
2000,2,5,12,30,934
2000,2,5,13,30,893
2000,2,5,14,30,820
2000,2,5,15,30,697
2000,2,5,16,30,445
2000,2,5,17,30,0
2000,2,5,18,30,0
2000,2,5,19,30,0
2000,2,5,20,30,0
2000,2,5,21,30,0
2000,2,5,22,30,0
2000,2,5,23,30,0
2000,2,6,0,30,0
2000,2,6,1,30,0
2000,2,6,2,30,0
2000,2,6,3,30,0
2000,2,6,4,30,0
2000,2,6,5,30,0
2000,2,6,6,30,0
2000,2,6,7,30,359
2000,2,6,8,30,700
2000,2,6,9,30,838
2000,2,6,10,30,904
2000,2,6,11,30,932
2000,2,6,12,30,935
2000,2,6,13,30,914
2000,2,6,14,30,865
2000,2,6,15,30,762
2000,2,6,16,30,527
2000,2,6,17,30,0
2000,2,6,18,30,0
2000,2,6,19,30,0
2000,2,6,20,30,0
2000,2,6,21,30,0
2000,2,6,22,30,0
2000,2,6,23,30,0
2000,2,7,0,30,0
2000,2,7,1,30,0
2000,2,7,2,30,0
2000,2,7,3,30,0
2000,2,7,4,30,0
2000,2,7,5,30,0
2000,2,7,6,30,0
2000,2,7,7,30,310
2000,2,7,8,30,644
2000,2,7,9,30,780
2000,2,7,10,30,848
2000,2,7,11,30,879
2000,2,7,12,30,870
2000,2,7,13,30,821
2000,2,7,14,30,742
2000,2,7,15,30,621
2000,2,7,16,30,379
2000,2,7,17,30,0
2000,2,7,18,30,0
2000,2,7,19,30,0
2000,2,7,20,30,0
2000,2,7,21,30,0
2000,2,7,22,30,0
2000,2,7,23,30,0
2000,2,8,0,30,0
2000,2,8,1,30,0
2000,2,8,2,30,0
2000,2,8,3,30,0
2000,2,8,4,30,0
2000,2,8,5,30,0
2000,2,8,6,30,0
2000,2,8,7,30,476
2000,2,8,8,30,794
2000,2,8,9,30,917
2000,2,8,10,30,974
2000,2,8,11,30,998
2000,2,8,12,30,998
2000,2,8,13,30,977
2000,2,8,14,30,927
2000,2,8,15,30,829
2000,2,8,16,30,611
2000,2,8,17,30,0
2000,2,8,18,30,0
2000,2,8,19,30,0
2000,2,8,20,30,0
2000,2,8,21,30,0
2000,2,8,22,30,0
2000,2,8,23,30,0
2000,2,9,0,30,0
2000,2,9,1,30,0
